"TARGET_ID";"TREE_LEVEL";"TREE_PATH";"STAGING_PATH";"STAGING_DIMENSION";"C_NAME";"STARTDATE_STAGING_PATH";"ENDDATE_STAGING_PATH";"VISUALATTRIBUTES";"C_BASECODE";"C_METADATAXML";"C_COLUMNDATATYPE";"C_OPERATOR";"C_COMMENT";"C_TOOLTIP";"UPDATE_DATE";"DOWNLOAD_DATE";"IMPORT_DATE";"SOURCESYSTEM_CD";"VALUETYPE_CD";"M_APPLIED_PATH"
"0";"2";"\i2b2\customNode\t_11_GOT_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_11_GOT_F1\";"concept_dimension";"t_11_GOT_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_11_GOT_F1";"null";"T";"null";"null";"t_11_GOT_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_11_GOT_F1\21\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_11_GOT_F1\21\";"concept_dimension";"21";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_11_GOT_F1:21";"null";"T";"null";"null";"21";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_11_GOT_F1\26\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_11_GOT_F1\26\";"concept_dimension";"26";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_11_GOT_F1:26";"null";"T";"null";"null";"26";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_11_GOT_F1\44\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_11_GOT_F1\44\";"concept_dimension";"44";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_11_GOT_F1:44";"null";"T";"null";"null";"44";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_11_GOT_F1\68\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_11_GOT_F1\68\";"concept_dimension";"68";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_11_GOT_F1:68";"null";"T";"null";"null";"68";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode\t_12_GPT_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_12_GPT_F1\";"concept_dimension";"t_12_GPT_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_12_GPT_F1";"null";"T";"null";"null";"t_12_GPT_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_12_GPT_F1\14\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_12_GPT_F1\14\";"concept_dimension";"14";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_12_GPT_F1:14";"null";"T";"null";"null";"14";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_12_GPT_F1\20\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_12_GPT_F1\20\";"concept_dimension";"20";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_12_GPT_F1:20";"null";"T";"null";"null";"20";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_12_GPT_F1\35\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_12_GPT_F1\35\";"concept_dimension";"35";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_12_GPT_F1:35";"null";"T";"null";"null";"35";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_12_GPT_F1\38\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_12_GPT_F1\38\";"concept_dimension";"38";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_12_GPT_F1:38";"null";"T";"null";"null";"38";;;;"null";"null";"@"
